rating,name,area,cuisine_type,price,cuisine_region,address
"                    -
                ",Kayu Bar - The Oberoi ,"The Oberoi, Seminyak",Casual Dining,"                        Rp350.000 
                                    
        ",  Hanya Minuman," The Oberoi, Jl. Kayu Aya, Seminyak, Bali"
"                    -
                ",Warung Inari ,Denpasar,Quick Bites,"                        Rp120.000 
                                    
        ",  Bali," Jl. Teuku Umar, Denpasar, Bali"
"                    -
                ",Mr Grumpys ,Candidasa,Casual Dining,"                        Rp200.000 
                                    
        ","  Kafe, Itali"," Jl. Raya Candidasa, Candidasa, Bali"
"                    -
                ",Paon Bali - Grand Nikko Bali ,"Grand Nikko Bali, Nusa Dua",,"                        Rp500.000 
                                    
        ",Masakan: Bali," Grand Nikko Bali, Jl. Raya Nusa Dua Selatan, Nusa Dua..."
"                    -
                ",Cafe Korma ,Kerobokan,Quick Bites,"                        Rp180.000 
                                    
        ","  Kafe, Desserts"," Jl. Raya Kerobokan, Kerobokan, Bali"
"                    -
                ",Komugi ,Kuta,Bakery,"                        Rp80.000 
                                    
        ","  Toko Kue, Desserts"," Jl. Mertanadi, Kuta, Bali"
"                    -
                ",Bukabaju - Gubuk Makan Bakso Keju ,Denpasar,Street Vendor,"                        
        ",  Bakso," Jl. Teuku Umar Barat (Malboro), Denpasar, Bali"
"                    -
                ",Jahe Balt ,Ubud,Quick Bites,"                        Rp200.000 
                                    
        ","  Kafe, Indonesia, Barat"," Jl. Monkey Forest, Ubud, Bali"
"                    -
                ",Bali Kakul ,Jimbaran,Casual Dining,"                        Rp230.000 
                                    
        ","  Bali, Indonesia"," Bali Baliku, Jl. Bukit Permai No. 5A, Jimbaran, Bali"
"                    -
                ",A Kitchen ,Seminyak,Kafe,"                        Rp150.000 
                                    
        ","  Barat, Itali, Kafe"," Jl. Drupadi, Seminyak, Bali"
"                    -
                ",Mina Restaurant - Fourteen Roses Hotel ,"Fourteen Roses Hotel, Kuta",Casual Dining,"                        Rp250.000 
                                    
        ",  Indonesia," Fourteen Roses Hotel, Jl. Legian, Kuta, Bali"
"                    -
                ",The Tusita Hotel Restaurant - The Tusita... ,Tuban,Casual Dining,"                        Rp350.000 
                                    
        ","  Jawa, Indonesia"," Jl. Kartika Plaza, Tuban, Bali"
"                    -
                ",Roti Babeh ,Singaraja,Bakery,"                        Rp40.000 
                                    
        ",  Toko Kue," Jl. Ahmad Yani, Singaraja, Bali"
"                    -
                ",Green Garden ,Tuban,Casual Dining,"                        Rp240.000 
                                    
        ","  Indonesia, Barat"," Jl. Kartika Plaza, Tuban, Bali"
"                    -
                ",Heliconia - The Lovina ,"The Lovina, Lovina",Casual Dining,"                        Rp250.000 
                                    
        ",  Itali," The Lovina, Jl. Singaraja Seririt, Lovina, Bali"
"                    -
                ",4x4 Resto Cafe ,Sanur,Quick Bites,"                        Rp120.000 
                                    
        ","  Betawi, Asia"," Jl. Tandakan No. 5, Sanur, Bali"
"                    -
                ",Amertha Bali ,Pemuteran,Quick Bites,"                        Rp200.000 
                                    
        ","  Bali, Indonesia, Barat"," Jl. Pemuteran, Pemuteran, Bali"
"                    -
                ",Oops Cafe ,Ubud,Kafe,"                        Rp200.000 
                                    
        ",  Kafe," Jl. Raya Ubud, Ubud, Bali"
"                    -
                ",Shekhinah Waroeng Eatery ,Ubud,Kafe,"                        Rp100.000 
                                    
        ","  Kafe, Indonesia"," Jl. Sukma, Ubud, Bali"
Tutup Sementara,Smoked ,Kerobokan,Casual Dining,"                        Rp200.000 
                                    
        ","  Kafe, Barat"," Jl. Raya Kerokoban, Kerobokan, Bali"
"                    -
                ",Q Talk ,Kuta,Beverage Shop,"                        Rp60.000 
                                    
        ","  Bubble Tea, Minuman"," Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Three Brothers ,Amed,Quick Bites,"                        Rp150.000 
                                    
        ","  Kafe, Hidangan Laut"," Jl. Pantai Timur, Amed, Bali"
"                    -
                ",Ning Restaurant - Lv8 Resort Hotel ,"Lv8 Resort Hotel, Canggu",,"                        Rp400.000 
                                    
        ",Masakan: Asia," Lv8 Resort Hotel, Jl. Discovery, Canggu, Bali"
"                    -
                ",Swich ,Seminyak,Quick Bites,"                        Rp120.000 
                                    
        ",  Makanan Cepat Saji," Jl. Drupadi No. 18, Seminyak, Bali"
"                    -
                ",Sunset Bar - Mercure Hotel ,"Mercure Hotel, Kuta",Casual Dining,"                        Rp350.000 
                                    
        ",  Cemilan," Mercure Hotel, Jl. Pantai Kuta, Kuta, Bali"
"                    -
                ",Jonesy's Kitchen ,Legian,Casual Dining,"                        Rp300.000 
                                    
        ","  Kafe, Barat"," Jl. Werkudara No. 520, Legian, Bali"
"                    -
                ",Divers Cafe ,Amed,Kafe,"                        Rp120.000 
                                    
        ",  Kafe," Jl. Pantai Timur, Amed, Bali"
